,time,poi,latitude,longitude
0,2015-09-19 12:02:00,"Bromley, London",51.40568161,0.01435
1,2015-09-11 06:59:00,"Hammersmith, London",51.49290848,-0.225794
2,2015-09-11 05:20:00,"Hillingdon, London",51.52663803,-0.44237199
3,2015-09-10 07:03:00,"East Region, Singapore",1.34959197,103.95678711
4,2015-09-09 10:17:00,"Kuta, Bali",-8.72547817,115.17794037
5,2015-09-09 08:18:00,"Kuta, Bali",-8.72547817,115.17794037
6,2015-09-08 06:48:00,"Kuta, Bali",-8.72547817,115.17794037
7,2015-09-07 21:51:00,"Kuta, Bali",-8.72547817,115.17794037
8,2015-09-07 02:33:00,"Kuta, Bali",-8.72547817,115.17794037
9,2015-09-06 01:51:00,"Buleleng, Bali",-8.11032391,115.08939362
10,2015-09-06 00:55:00,"Buleleng, Bali",-8.11032391,115.08939362
11,2015-09-02 09:02:00,"Buleleng, Bali",-8.11032391,115.08939362
12,2015-08-29 07:22:00,"Ubud, Bali",-8.50822735,115.26309967
13,2015-08-28 23:27:00,"East Region, Singapore",1.34959197,103.95678711
14,2015-08-27 03:42:00,"Central Region, Singapore",1.30056,103.82167053
15,2015-08-26 15:30:00,"Doha, Qatar",25.28563309,51.52641678
16,2015-08-26 04:44:00,"Hillingdon, London",51.52663803,-0.44237199
17,2015-08-08 06:45:00,"London, England",51.50015259,-0.12623601
18,2015-08-05 22:49:00,"Islington, London",51.53483963,-0.103436
19,2015-08-02 08:32:00,"Hammersmith, London",51.49290848,-0.225794
20,2015-07-30 00:44:00,"Hammersmith, London",51.49290848,-0.225794
21,2015-07-19 10:45:00,"Paddington, London",51.51596832,-0.174968
22,2015-07-15 12:03:00,"Hammersmith, London",51.49290848,-0.225794
23,2015-07-11 04:40:00,"Ealing, London",51.51335144,-0.304214
24,2015-06-20 09:30:00,"Camberwell, London",51.47415924,-0.093181
25,2015-06-13 07:19:00,"Paddington, London",51.51596832,-0.174968
26,2015-06-12 13:10:00,"City of London, London",51.51332855,-0.088947
27,2015-06-05 12:56:00,"Hammersmith, London",51.49290848,-0.225794
28,2015-05-24 08:14:00,"Aalborg, Nordjylland",57.04722595,9.92010403
29,2015-05-22 05:08:00,"Aarhus, Central Jutland",56.16308212,10.15676785
30,2015-05-21 08:37:00,"Aalborg, Nordjylland",57.04722595,9.92010403
31,2015-05-21 03:20:00,"Crawley, England",51.11333847,-0.182914
32,2015-05-10 08:02:00,"Aalborg, Nordjylland",57.04722595,9.92010403
33,2015-05-08 07:36:00,"Aalborg, Nordjylland",57.04722595,9.92010403
34,2015-05-07 03:49:00,"Crawley, England",51.11333847,-0.182914
35,2015-05-04 09:52:00,"Madrid, Comunidad de Madrid",40.41669083,-3.70034599
36,2015-05-02 11:03:00,"Madrid, Comunidad de Madrid",40.41669083,-3.70034599
37,2015-05-01 08:43:00,"East Ham, London",51.53817749,-0.025763
38,2015-04-04 07:47:00,"Richmond, London",51.45600128,-0.301
39,2015-03-30 11:10:00,"Camberwell, London",51.47415924,-0.093181
40,2015-03-21 05:45:00,"Hackney, London",51.54578781,-0.055418
41,2015-03-11 03:05:00,"Hammersmith, London",51.49290848,-0.225794
42,2015-03-07 04:57:00,"Hammersmith, London",51.49290848,-0.225794
43,2015-02-06 13:25:00,"London, England",51.50015259,-0.12623601
44,2015-01-10 13:30:00,"Hammersmith, London",51.49290848,-0.225794
45,2015-01-05 07:45:00,"East, England",51.50015259,-0.12623601
46,2014-12-16 22:44:00,"Lejre, Sjælland",55.60460281,11.97478962
47,2014-12-17 01:12:00,"East, England",51.50015259,-0.12623601
48,2014-12-01 11:48:00,"London, England",51.50015259,-0.12623601
49,2014-11-30 01:53:00,"Aalborg, Nordjylland",57.04722595,9.92010403
50,2014-11-26 04:31:00,"Brighton, England",50.81952286,-0.13642
51,2014-11-22 02:17:00,"Hammersmith, London",51.49290848,-0.225794
52,2014-11-21 10:15:00,"Hammersmith, London",51.49290848,-0.225794
53,2014-11-20 13:50:00,"London, England",51.50015259,-0.12623601
54,2014-11-19 10:32:00,"Islington, London",51.53483963,-0.103436
55,2014-11-15 09:12:00,"Poplar, London",51.50878143,-0.010522
56,2014-11-15 03:16:00,"Poplar, London",51.50878143,-0.010522
57,2014-11-13 10:31:00,"Islington, London",51.53483963,-0.103436
58,2014-11-11 23:05:00,"East, England",51.50015259,-0.12623601
59,2014-11-11 04:41:00,"Hammersmith, London",51.49290848,-0.225794
60,2014-10-19 10:02:00,"Richmond, London",51.45600128,-0.301
61,2014-10-17 08:01:00,"London, England",51.50015259,-0.12623601
62,2014-09-29 06:53:00,"Paddington, London",51.51596832,-0.174968
63,2014-09-26 13:24:00,"Hammersmith, London",51.49290848,-0.225794
64,2014-09-21 05:59:00,"Hammersmith, London",51.49290848,-0.225794
65,2014-09-12 07:44:00,"London, England",51.50015259,-0.12623601
66,2014-09-11 10:43:00,"Aalborg, Nordjylland",57.04722595,9.92010403
67,2014-09-03 20:59:00,"Crawley, England",51.11333847,-0.182914
68,2014-09-02 05:55:00,"Hammersmith, London",51.49290848,-0.225794
69,2014-08-27 06:00:00,"Paddington, London",51.51596832,-0.174968
70,2014-08-24 07:22:00,"Kensington, London",51.5,-0.19
71,2014-08-22 15:19:00,"Hammersmith, London",51.49290848,-0.225794
72,2014-08-21 02:43:00,"Hammersmith, London",51.49290848,-0.225794
73,2014-06-09 14:09:00,"Copenhagen, Capital Region of Denmark",55.67575836,12.56902313
