,time,poi,latitude,longitude
0,2015-10-24 21:40:00,"Phoenix, AZ",33.44820404,-112.07258606
1,2013-09-30 12:23:00,"Airport, MO",38.72814178,-90.38221741
2,2013-07-26 20:40:00,"Chandler, AZ",33.30228424,-111.84010315
3,2013-06-06 14:59:00,"Hunter, NY",42.21371841,-74.21929169
4,2013-06-04 10:35:00,Pearl Street Grill & Brewery,32.28358841,-90.10040283
5,2013-05-18 18:45:00,"Scottsdale, AZ",33.49490738,-111.92606354
6,2013-05-10 17:54:00,"Chandler, AZ",33.30228424,-111.84010315
7,2013-04-05 17:52:00,"Chandler, AZ",33.30228424,-111.84010315
8,2013-03-24 14:38:00,"Phoenix, AZ",33.44820404,-112.07258606
9,2013-03-23 18:06:00,"Scottsdale, AZ",33.49490738,-111.92606354
10,2013-03-23 08:41:00,"Tempe, AZ",33.42552185,-111.94125366
11,2013-03-17 13:29:00,"Chandler, AZ",33.30228424,-111.84010315
12,2013-03-08 18:36:00,"Tempe, AZ",33.42552185,-111.94125366
13,2013-03-08 08:56:00,"Chandler, AZ",33.30228424,-111.84010315
14,2013-03-01 18:27:00,"Chandler, AZ",33.30228424,-111.84010315
15,2013-03-01 16:51:00,"Chandler, AZ",33.30228424,-111.84010315
16,2013-03-01 06:52:00,"Chandler, AZ",33.30228424,-111.84010315
17,2013-02-23 18:19:00,1st Round Draft Sports Grill,-19.85048485,57.78905487
18,2013-02-23 13:36:00,"Tempe, AZ",33.42552185,-111.94125366
19,2013-02-22 21:20:00,"Mesa, AZ",33.41518021,-111.83149719
20,2013-02-22 20:58:00,"Mesa, AZ",33.41518021,-111.83149719
21,2013-02-21 18:06:00,Whole Foods Market,51.461024,-0.3031038
22,2013-02-21 17:07:00,San Tan Brewing,33.16049576,-111.56241608
23,2013-02-20 19:37:00,"Chandler, AZ",33.30228424,-111.84010315
24,2013-02-19 17:41:00,San Tan Brewing,33.16049576,-111.56241608
25,2013-02-18 18:51:00,"Chandler, AZ",33.30228424,-111.84010315
26,2013-02-18 18:46:00,"Chandler, AZ",33.30228424,-111.84010315
27,2013-02-17 17:42:00,"Tempe, AZ",33.42552185,-111.94125366
28,2013-02-15 13:03:00,"Gilbert, AZ",33.33073044,-111.79033661
29,2013-02-14 18:16:00,"Chandler, AZ",33.30228424,-111.84010315
30,2013-01-30 15:35:00,"Chandler, AZ",33.30228424,-111.84010315
31,2013-01-27 08:04:00,Starbucks,39.01421308,-119.74556321
32,2013-01-26 12:32:00,"Arizona, USA",34.29322815,-111.66459656
33,2013-01-25 11:26:00,"Arizona, USA",34.29322815,-111.66459656
34,2013-01-20 16:16:00,Gilbert Ace Hardware,33.33073044,-111.79033661
35,2013-01-10 16:21:00,"Chandler, AZ",33.30228424,-111.84010315
36,2012-12-29 19:48:00,"Chandler, AZ",33.30228424,-111.84010315
37,2012-12-21 18:55:00,"Chandler, AZ",33.30228424,-111.84010315
38,2012-11-23 16:25:00,"Chandler, AZ",33.30228424,-111.84010315
39,2012-11-13 09:53:00,"Chandler, AZ",33.30228424,-111.84010315
40,2012-11-06 19:39:00,"Chandler, AZ",33.30228424,-111.84010315
41,2012-10-17 18:13:00,"Los Angeles, CA",34.05223846,-118.24334717
42,2012-10-14 17:53:00,"Birmingham, AL",33.52285767,-86.80770874
43,2012-10-13 08:57:00,"Mississippi, USA",32.7208786,-89.65620422
44,2012-10-10 14:50:00,"Birmingham, AL",33.52285767,-86.80770874
45,2012-10-10 13:17:00,"Birmingham, AL",33.52285767,-86.80770874
46,2012-10-04 18:40:00,"Chandler, AZ",33.30228424,-111.84010315
47,2012-09-29 10:37:00,"Gilbert, AZ",33.33073044,-111.79033661
48,2012-09-21 21:31:00,"Colorado, USA",38.99855042,-105.5478363
49,2012-09-15 14:03:00,"Parkland, WA",47.139431,-122.43457794
50,2012-08-04 16:33:00,"Chandler, AZ",33.30228424,-111.84010315
51,2012-05-20 18:47:00,"Chandler, AZ",33.30228424,-111.84010315
52,2012-03-23 11:13:00,"Portland, OR",45.51601791,-122.681427
53,2011-04-12 11:16:00,"Chandler, AZ",33.30228424,-111.84010315
