,time,poi,latitude,longitude
0,2015-10-26 19:29:00,"Manhattan, NY",40.75325012,-74.00380707
1,2015-10-25 17:12:00,"Brooklyn, NY",40.69252777,-73.99099731
2,2015-10-22 17:17:00,"Brooklyn, NY",40.69252777,-73.99099731
3,2015-10-08 13:12:00,"Manhattan, NY",40.75325012,-74.00380707
4,2015-09-29 20:57:00,"Brooklyn, NY",40.69252777,-73.99099731
5,2014-11-14 16:15:00,"Brooklyn, NY",40.69252777,-73.99099731
6,2014-11-13 19:44:00,"Brooklyn, NY",40.69252777,-73.99099731
7,2014-10-08 06:26:00,"Arlington, VA",38.89076233,-77.08475494
8,2014-09-27 22:20:00,"Manhattan, NY",40.75325012,-74.00380707
9,2014-09-27 20:24:00,"Brooklyn, NY",40.69252777,-73.99099731
10,2014-09-27 13:22:00,"Manhattan, NY",40.75325012,-74.00380707
11,2014-09-21 12:34:00,"Manhattan, NY",40.75325012,-74.00380707
12,2014-09-15 10:45:00,"Solvang, CA",34.5959816,-120.13795471
13,2014-09-12 21:52:00,"Los Angeles, CA",34.05223846,-118.24334717
14,2014-08-30 11:07:00,"Austin, TX",30.26497841,-97.74659729
15,2013-03-30 17:10:00,"New York, NY",40.71304703,-74.00723267
16,2013-03-26 04:12:00,"Queens, NY",40.75977707,-73.81729889
17,2012-09-27 07:31:00,"New York, NY",40.71304703,-74.00723267
18,2012-09-11 23:11:00,"New York, NY",40.71304703,-74.00723267
19,2012-08-26 07:51:00,"Manhattan, NY",40.75325012,-74.00380707
20,2012-06-03 11:16:00,"Santa Monica, CA",34.01093292,-118.49151611
21,2012-05-29 21:57:00,"Yountville, CA",38.40115738,-122.36019135
22,2012-05-28 22:18:00,"Mendocino, CA",39.30516815,-123.79821777
23,2012-05-23 12:07:00,"Seattle, WA",47.60322952,-122.33027649
24,2012-03-27 10:22:00,"New York, NY",40.71304703,-74.00723267
25,2012-03-25 16:41:00,"Manhattan, NY",40.75325012,-74.00380707
26,2012-03-18 17:30:00,"New York, NY",40.71304703,-74.00723267
27,2012-03-18 14:34:00,"New York, NY",40.71304703,-74.00723267
28,2012-03-08 13:57:00,"Manhattan, NY",40.75325012,-74.00380707
29,2012-03-06 13:01:00,"New York, NY",40.71304703,-74.00723267
30,2012-02-18 12:50:00,"Eau Claire, WI",44.81256485,-91.4994278
31,2012-02-09 09:33:00,"New York, NY",40.71304703,-74.00723267
32,2012-02-02 07:01:00,"New York, NY",40.71304703,-74.00723267
33,2011-07-30 10:05:00,"Sampson, WI",45.25080872,-91.42287445
34,2010-12-24 11:18:00,"Fort Snelling, MN",44.8927803,-93.18055725
35,2010-09-01 11:24:00,Night Agency,40.99490738,-92.30498505
36,2010-07-18 11:36:00,Nolita House Restaurant,40.72162628,-73.99544525
37,2010-07-13 16:21:00,"Chicago, IL",41.8832283,-87.63240051
38,2010-07-03 09:18:00,Loreley,50.14173889,7.74932718
39,2010-06-30 09:08:00,Weber Shandwick,57.74294662,-3.92654991
40,2010-06-27 09:48:00,San Loco,34.32913208,-97.67874908
