,time,poi,latitude,longitude
0,2015-02-12 21:34:00,"Cupertino, CA",37.31931305,-122.02926636
1,2014-11-10 20:04:00,"El Camino Kiely, Santa Clara",37.34911728,-121.986763
2,2014-09-12 09:18:00,"El Camino Kiely, Santa Clara",37.34911728,-121.986763
3,2014-08-11 09:15:00,"Cupertino, CA",37.31931305,-122.02926636
4,2014-05-16 15:18:00,"Missouri, USA",38.36758041,-92.47736359
5,2014-05-16 07:53:00,"Millbrae, CA",37.60363388,-122.39720154
6,2014-03-24 20:32:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
7,2014-02-21 19:32:00,"Civic Center, San Francisco",37.78424835,-122.41773224
8,2014-02-12 10:42:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
9,2014-02-03 20:31:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
10,2014-02-03 20:06:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
11,2014-01-23 08:46:00,"South San Francisco, CA",37.65568161,-122.41248322
12,2014-01-18 18:29:00,"San Jose, CA",37.33479309,-121.88814545
13,2014-01-12 15:02:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
14,2014-01-01 18:01:00,"St. Joseph, MO",39.76819229,-94.84816742
15,2014-01-01 11:05:00,"Tulsa, OK",36.15532684,-95.99208069
16,2013-12-20 23:33:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
17,2013-12-06 11:08:00,"Cupertino, CA",37.31931305,-122.02926636
18,2013-12-03 14:05:00,"Sumter South, FL",33.93026733,-80.36747742
19,2013-11-22 11:39:00,"Oakland, CA",37.80482864,-122.2724762
20,2013-11-14 10:47:00,"Highlands-Baywood Park, CA",37.52375412,-122.34282684
21,2013-11-13 19:11:00,"Cupertino, CA",37.31931305,-122.02926636
22,2013-11-13 00:08:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
23,2013-11-07 11:15:00,"Cupertino, CA",37.31931305,-122.02926636
24,2013-11-03 21:29:00,"Central Sunset, San Francisco",37.75348663,-122.4936142
25,2013-11-03 21:29:00,"Central Sunset, San Francisco",37.75348663,-122.4936142
26,2013-11-01 08:22:00,"Anaheim, CA",33.83449173,-117.91564178
27,2013-10-31 15:34:00,"Millbrae, CA",37.60363388,-122.39720154
28,2013-10-29 13:03:00,"Cupertino, CA",37.31931305,-122.02926636
29,2013-10-23 19:22:00,"Cupertino, CA",37.31931305,-122.02926636
30,2013-10-23 10:34:00,"Daly City, CA",37.69111252,-122.47222137
31,2013-10-21 22:04:00,"Western Addition, San Francisco",37.78121567,-122.43398285
32,2013-10-21 08:56:00,"Paradise, NV",36.11553574,-115.15795135
33,2013-10-10 21:37:00,"Hayes Valley, San Francisco",37.77273941,-122.42552185
34,2013-10-01 09:52:00,"South Coastside, CA",37.48730159,-122.45342654
35,2013-09-30 21:53:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
36,2013-09-23 12:02:00,"Cupertino, CA",37.31931305,-122.02926636
37,2013-08-31 20:40:00,"Cow Hollow, San Francisco",37.7989502,-122.43587494
38,2013-08-14 19:17:00,"Duboce Triangle, San Francisco",37.76714325,-122.43238068
39,2013-08-13 18:36:00,"Daly City, CA",37.69111252,-122.47222137
40,2013-08-07 00:28:00,"Inner Sunset, San Francisco",37.75348663,-122.4936142
