,time,poi,latitude,longitude
0,2015-12-12 08:06:38,"Rainbo Club, 1150 N Damen Ave, Chicago",41.902743,-87.6772829941
1,2015-12-12 08:05:13,"The Matchbox, 770 N Milwaukee Ave, Chicago",41.895763,-87.654982
2,2015-12-12 08:01:22,"Furious Spoon, 1571 N Milwaukee Ave, Chicago",41.9100724835,-87.6769157644
3,2015-12-07 07:04:15,"Summer House Santa Monica, 1954 N Halsted St, Chicago",41.9175662237,-87.6486507741
4,2015-12-07 07:02:48,"Nick's Fishmarket Grill & Bar, 222 Merchandise Mart Plz, Chicago",41.8890771191,-87.6358088629
5,2015-07-23 05:19:11,"Black Dog Gelato, 859 N Damen Ave, Chicago",41.897616,-87.67703
6,2015-07-23 05:18:17,"Sprout Home, 745 N Damen Ave, Chicago",41.8953602071,-87.6769831697
7,2015-07-23 05:16:42,"Kasia's Polish Delicatessen, 2101 W Chicago Ave, Chicago",41.8958192663,-87.67955894
8,2015-07-23 05:13:49,"Arami, 1829 W Chicago Ave, Chicago",41.895819,-87.67337
9,2015-07-23 05:12:41,"The Winchester, 1001 N Winchester Ave, Chicago",41.8996418337,-87.6757478714
10,2015-07-23 05:11:36,"Kai Zan, 2557 W Chicago Ave, Chicago",41.8956600788,-87.6915692528
11,2015-07-23 05:09:30,"Roots Handmade Pizza, 1924 W Chicago Ave, Chicago",41.8960741488,-87.6756861806
12,2015-07-23 05:08:04,"Bacci Pizzeria, 2343 W Chicago Ave, Chicago",41.8957223691,-87.6860819681
13,2015-07-23 05:07:32,"Happy Village, 1059 N Wolcott Ave, Chicago",41.9013272078,-87.6746191102
14,2015-07-23 05:06:13,"Innertown Pub, 1935 W Thomas St, Chicago",41.901331,-87.676028
15,2015-07-23 04:33:41,"Bar Deville, 701 N Damen Ave, Chicago",41.894243,-87.676987
16,2015-07-23 04:32:07,"Dark Matter Coffee, 738 N Western Ave, Chicago",41.8950772816,-87.6869002894
17,2015-07-23 04:30:24,"Sportsman's Club, 948 Western Ave, Chicago",41.8990131007,-87.6870928335
18,2015-07-23 04:23:48,"Empty Bottle, 1035 N Western Ave, Chicago",41.9003111268,-87.6869078726
19,2015-07-23 04:21:23,"Bite Caf, 1039 N Western Ave, Chicago",41.9004503748,-87.6868790388
20,2015-07-23 04:20:04,"Farmer's Pride Produce, 756 N Western Ave, Chicago",41.8954064542,-87.6869002894
21,2015-07-23 04:17:08,"Tuman's Tap & Grill, 2159 W Chicago Ave, Chicago",41.89568,-87.68188
22,2015-07-23 04:15:35,"Fatso's Last Stand, 2258 W Chicago Ave., Chicago",41.896048194,-87.6841592789
23,2015-06-01 23:04:57,"Logan Square Farmers Market, 2755 N Milwaukee Ave, Chicago",41.9282199402,-87.7049814323
24,2015-06-01 23:03:16,"Working Bikes, 2434 S Western Ave, Chicago",41.847346,-87.6855540276
25,2015-06-01 23:01:51,"Da Lobsta, 416 N Clark St, Chicago",41.889912269,-87.6311197264
26,2015-01-14 10:16:26,"Bite Caf, 1039 N Western Ave, Chicago",41.9004503748,-87.6868790388
27,2015-01-14 10:15:14,"California Clipper, 1002 N California Ave, Chicago",41.8994696024,-87.6968585611
28,2015-01-14 10:13:16,"Charlatan, 1329 W Chicago Ave, Chicago",41.896177,-87.66047
29,2015-01-14 10:11:55,"Avec, 615 W Randolph St, Chicago",41.8844904286,-87.6433981716
30,2014-12-27 13:19:33,"Cocello, 354 W Hubbard St, Chicago",41.8900394351,-87.6375822238
31,2014-12-27 13:18:22,"Fahlstrom's Fresh Fish Market, 1258 W Belmont Ave, Chicago",41.939988,-87.661289
32,2014-12-27 13:16:17,"Dark Matter Coffee, 738 N Western Ave, Chicago",41.8950772816,-87.6869002894
33,2014-12-27 03:24:45,"Dove's Luncheonette, 1545 N Damen Ave, Chicago",41.9094984549,-87.677479077
34,2014-12-09 01:39:13,"Feed, 2803 W Chicago Ave, Chicago",41.8955251029,-87.6968944073
35,2014-02-25 04:27:05,"Tacun, Blvd. Kukulcan Km. 11.5, Cancn",21.116121,-86.757789
36,2013-07-20 00:19:31,"M80 Chicago, 350 N Orleans St, Chicago",41.8879707011,-87.6360787266
37,2013-06-28 00:02:02,"M80 Chicago, 350 N Orleans St, Chicago",41.8879707011,-87.6360787266
38,2013-04-20 14:35:01,"Burnt City Brewing Company, 2747 N Lincoln Ave, Chicago",41.9317573168,-87.6576096727
39,2013-04-20 14:32:22,"The Long Room, 1612 W Irving Park Rd, Chicago",41.9545223008,-87.6697268987
40,2012-12-30 03:41:54,"Juniper, 112 Berry St, Brooklyn",40.7188146962,-73.9587850842
41,2012-10-18 23:33:37,"La Palapa, 77 Saint Marks Pl, New York",40.7278692,-73.9856719
42,2012-10-18 23:32:24,"Thai Select, 472 9th Ave, New York",40.7547827521,-73.9951207587
43,2012-06-22 02:23:33,"M80, 498 Fashion Ave, New York",40.7527787356,-73.9896401421
44,2011-03-23 23:39:45,"Sweet Afton, 30-09 34th St, Astoria",40.7654838301,-73.9190668626
45,2011-03-23 23:37:48,"The Commodore, 366 Metropolitan Ave, Brooklyn",40.7140432473,-73.9559590816
46,2010-05-29 02:25:52,"International Bar, 120 1/2 1st Ave, New York",40.7271171198,-73.9856170977
47,2010-01-22 02:55:47,"Beauty Bar, 231 E 14th St, New York",40.7328407096,-73.9858630255
