,time,poi,latitude,longitude
0,2016-08-16 10:17:56,"Miracle Sushi & Modern Asian Cuisine, 12505 Old Meridian St, Carmel",39.9714524141,-86.1513658346
1,2016-04-23 00:36:25,"The Nook, 469A King St W, Toronto",43.645148,-79.396643
2,2016-03-04 00:57:04,"ADESA, 13085 Hamilton Crossing Blvd, Carmel",39.9767845903,-86.1608812589
3,2016-02-08 02:47:07,"Lawrence Square, 700 Lawrence Ave W, Toronto",43.7161639089,-79.4470259138
4,2016-02-03 00:22:49,"Sweet Pea dessert cafe, 4704 Yonge street, North York",43.759335,-79.410501
5,2016-01-30 01:44:22,"Mi Taco Taqueria, 247 queen street west, Toronto",43.6504010131,-79.3886773514
6,2015-10-09 01:41:37,"Volkswagen Canada, 777 Bayly St., Ajax",43.8373302576,-79.0459694385
7,2015-09-20 01:26:17,"ThirstyBear Brewing Company, 661 Howard St, San Francisco",37.7855597976,-122.399674048
8,2015-09-20 01:25:42,"Buca di Beppo Italian Restaurant, 855 Howard St, San Francisco",37.782101,-122.403776
9,2015-09-20 01:24:39,"Hilton San Francisco Financial District, 750 Kearny Street, San Francisco",37.7952152334,-122.404530703
10,2015-09-20 01:23:05,"United Club, SFO Airport, San Francisco",37.6173793099,-122.389290674
11,2014-12-21 02:08:55,"Northern Dumpling Kitchen 0886d2, 550 Highway 7 E, Unit A52, Richmond Hill",43.8452357556,-79.3836465245
12,2014-11-04 08:40:51,"Touro Churrascaria | Brazilian Steakhouse & Wine Bar, 125 York Blvd., Richmond Hill",43.8468772206,-79.3764352798
13,2014-08-19 07:20:30,"Cho Sun Ok 702025 1dae4b, 7353 Yonge St, Markham",43.8066180026,-79.4221212654
14,2014-07-29 11:00:28,"Taste of Istanbul, 2100 Steeles Avenue West, Vaughan",43.7827172419,-79.4899392729
15,2014-06-29 06:33:38,"La Stella Restaurant & Bar, 55 St. Clair Ave W., Toronto",43.687664032,-79.3964920044
16,2013-12-31 05:37:47,"Huck Finn's Cafe, 135 Decatur St, New Orleans",29.9528151321,-90.0664265776
17,2013-12-30 04:42:18,"Pche, 800 Magazine St, New Orleans",29.9452017366,-90.0692045494
18,2013-12-29 09:48:54,"Frenchmen Grocery Deli, 602 Frenchmen St, New Orleans",29.9636774466,-90.0577381605
19,2013-10-15 02:19:08,"Kimchi House, 500 Oxford St. W., London",42.9846621468,-81.2886285526
20,2013-08-14 20:23:05,"Alounak, 44 Westbourne Gr, Kensington",51.5154302363,-0.191182200984
21,2013-07-28 06:48:04,"Hung Long, 1122 Wilson Ave., Toronto",43.7264676949,-79.4835519791
22,2013-06-29 23:51:54,"Pikolo Espresso Bar, 3418B, av. du Parc, Montral",45.5085424334,-73.5718345642
23,2013-06-16 02:05:04,"Soo Dam Korean Kitchen, 79 Wharncliffe Rd S, London",42.9756966549,-81.2624255869
24,2013-06-12 07:47:50,"Sukhothai, 52 Wellington St. E., Toronto",43.6485908084,-79.3745040894
25,2013-05-20 00:43:28,"LCBO, 5995 Yonge St, Toronto",43.7887906308,-79.4175649427
26,2013-05-19 01:53:45,"Myungdong Kalguksu - Noodles & Shabu Shab, 8220 Bayview Ave., Richmond Hill",43.8318301401,-79.4050105324
27,2013-04-27 06:54:51,"Pearl Harbourfront Chinese Cuisine, 200-207 Queens Quay W., Toronto",43.6383235271,-79.3807928519
28,2013-04-21 04:01:28,"Jules Cafe Patisserie, 617 Mt Pleasant Ave, Toronto",43.704239,-79.388419
