,time,poi,latitude,longitude
0,2013-09-21 08:25:52,"United Club, Terminal 3, San Francisco",37.6194304811,-122.386878619
1,2013-09-01 08:57:58,"David Burke Kitchen, 23 Grand St, New York",40.7228340681,-74.0051231974
2,2013-08-20 08:08:23,"Shake Shack, 215 Murray St, New York",40.7152569647,-74.0148282051
3,2013-08-04 01:25:33,"Ippudo Westside, 321 W 51st St, New York",40.7633817224,-73.9866501271
4,2013-06-30 08:16:13,"Luke's Lobster, 130 S 17th St, Philadelphia",39.9506204705,-75.1689452502
5,2013-05-27 05:54:45,"Baohaus, 238 E 14th St, New York",40.7326060893,-73.9855769242
6,2013-05-27 01:36:23,"Tartine, 253 W 11th St, New York",40.7362284896,-74.0034762454
7,2013-05-26 04:06:41,"Ramen Yebis, 126 N 6th St, Brooklyn",40.7180318813,-73.9593935092
8,2013-05-07 21:36:04,"Famous Famiglia Pizza, Terminal C3, Newark",40.6980120506,-74.1790513169
9,2013-05-05 02:53:07,"Rocket Pig, 463 W 24th St, New York",40.7483003081,-74.003332782
10,2013-04-17 14:49:40,"ANA LOUNGE - Satellite 4, Terminal 1, 09cc5aa19967341-1, 103002",35.7594681524,140.386390686
11,2013-04-17 07:40:35,"EVA Air Lounge, Taiwan Taoyuan International Airport, T19ao-yan",25.0771331334,121.232312225
12,2013-04-13 09:28:52,"Asiana Lounge, 116c b41cd9, 789c11eddc",37.4559766807,126.445072951
13,2013-04-13 09:27:24,"Incheon International Airport (ICN), 116c f56d5c 272, 789c11eddc",37.4491678798,126.451693081
14,2013-04-06 19:18:42,"Ph Bay, 15a86c 4ce4805c4338 17, 1cb8b9c4dc",37.5012287894,127.03534524
15,2013-04-03 21:16:58,"United Club, Terminal C3, Newark",40.6963915195,-74.1774402847
16,2013-04-03 20:38:34,"Terminal C, EWR Airport, Newark",40.6955637191,-74.1767981612
17,2013-03-25 03:25:36,"RedFarm, 529 Hudson St, New York",40.7341689523,-74.0062536754
18,2013-03-18 21:06:26,"La Viola Ovest, 253 S 16th St, Philadelphia",39.9478312896,-75.1679192637
19,2013-03-12 01:10:38,"Rai Rai Ken, 218 E 10th St, New York",40.7293738184,-73.9857605743
20,2013-02-26 13:02:33,"Audrey Claire, 276 S 20th St, Philadelphia",39.94824306,-75.174274
21,2013-02-25 08:05:50,"Audrey Claire, 276 S 20th St, Philadelphia",39.94824306,-75.174274
22,2013-02-24 14:14:41,"D'Angelo's Ristorante Italiano, 256 S 20th St, Philadelphia",39.948678,-75.174211
23,2013-02-24 02:24:14,"Ramen Bar, 4040 Locust St, Philadelphia",39.953026,-75.204931
24,2013-02-17 09:48:33,"Curry-Ya, 214 E 10th St, New York",40.729463,-73.985979
25,2013-02-17 02:03:08,"Le Zie 2000 Trattoria, 172 7th Ave, New York",40.7423825045,-73.9969399445
26,2013-01-28 05:18:46,"Bay Cities Italian Deli & Bakery, 1517 Lincoln Blvd, Santa Monica",34.017748,-118.48933
27,2013-01-13 02:32:29,"Dos Toros Taquera, 137 4th Ave, New York",40.7336619174,-73.9898869167
28,2013-01-06 12:09:09,"Vynl, 756 9th Ave, New York",40.7639283916,-73.9884521763
