,time,poi,latitude,longitude
0,2014-07-28 08:34:44,"Hop Jack's, 196th, Lynnwood",47.8203028127,-122.316333922
1,2014-03-06 09:04:40,"Amazon Mayday, 1220 Howell St, Seattle",47.6175475344,-122.330317497
2,2014-03-02 11:49:51,"JCPenney, 18601 33rd Ave W, Lynnwood",47.82973,-122.27594
3,2013-08-18 09:55:45,"Astoria Column, 2199 Coxcomb Dr., Astoria",46.1813105394,-123.817559481
4,2013-03-17 07:49:50,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston",29.9872,-95.34774
5,2013-02-10 05:16:53,"Patty's Eggnest & Turkey House, 303 128th St SW, Everett",47.8821321183,-122.238178253
6,2012-09-18 10:24:29,"Namfon Thai Cuisine, 10400 Greenwood Ave N, Seattle",47.7046067155,-122.355111837
7,2012-05-26 10:41:33,"Broiler Bay, 15226 Aurora Ave N, Shoreline",47.7397775543,-122.344788532
8,2012-05-22 00:27:28,"Amazon - Day 1 South (SEA22), 410 Terry Ave N, Seattle",47.6224831776,-122.336878181
9,2012-04-17 06:44:57,"Salt Lake City International Airport (SLC), 776 N Terminal Dr, Salt Lake City",40.7876005779,-111.981339141
10,2012-04-14 09:38:56,"Hillcrest Jr High, 126 E 5300 S, Murray",40.6551341007,-111.887362003
11,2012-04-07 11:16:56,"Big Mario's Pizza, 1009 E Pike St, Seattle",47.6139114934,-122.318853736
12,2009-09-09 10:25:19,"RoRo BBQ & Grill, 3620 Stone Way N, Seattle",47.65128,-122.34252789
